"","Num","Variable","Category","Message"
"1",1,"LocCountry","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"2",2,"LocStateProvince","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"3",3,"LocCity","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"4",4,"LocArea","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"5",5,"AISwabO","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"6",6,"AISwabC","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"7",7,"FeatherType1","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"8",8,"FeatherType2","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"9",9,"BirdDisposition","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"10",10,"TagManufacturer1","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"11",11,"TagModel1","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"12",12,"TagManufacturer2","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"13",13,"TagModel2","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"14",14,"EstHatchDate","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"15",15,"ChickAge_d","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"16",16,"ChickAgeType","CodeName","Dataset variable not listed under ""CodeName"" in dictionary"
"17",17,"SpeciesCode","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Aircraft noise is pervasive across the USA, including in national parks, but its effects on wildlife remain unresolved. As with other noise sources, aircraft noise may affect species physiology and behaviour by being perceived as a threat, distracting individuals, or degrading the sensory environment. This study aimed to understand the effect of aircraft traffic and associated noise on the richness of bird vocalization activity in a remote national park in the USA. We used a continent-wide acoustic dataset encompassing over 30:00 h of annotated recordings to identify two geographically similar sites with high rates of bird vocalizations and both high and low rates of aircraft noise. We selected sites in Denali National Park, both of which experience little human presence, and quantified the richness of bird vocalizations before, during and after aircraft events. We present evidence of a community-level behavioural response to aircraft noise, with increased bird vocalization richness after aircraft events at a site with relatively lower aircraft noise. At the site with low rates of aircraft noise, we found bird vocalization richness did not significantly change during an aircraft event but did increase after an aircraft event. At the site with high rates of aircraft noise, bird vocalization richness did not significantly change during or after an aircraft event. This study provides new insights into wildlife responses to aircraft traffic and associated noise and highlights the importance of noise research in the management of relatively quiet and undisturbed landscapes. , BLPW, SPSA, UPSA, REKN, GRYE, LEYE, SBDO, SEOW, SOSA"
"18",18,"BBLStatus","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: NA"
"19",19,"ULIn","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Geo-Dg, Yl-Db, Bk-Bk, K-Yl, Dg-R, Rd-Yl, Rd-Rd, Rd-Db, Rd-Dg, Geo-GYl"
"20",20,"LLIn","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: A"
"21",21,"URIn","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: NULL, Geo-Db, Geo-Dg, O, A, Geo-O, Geo-Yl, Geo-Rd, Yl-Db, flag"
"22",22,"LRIn","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: A"
"23",23,"ULOut","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: O, Db-Wh, Wh-Db, Wh-Yl, Db-Yl, Db-O, Db-dg, Db-Db-Db, Db-Db-O, Db-Db-Wh, Db-Db-Dg, Rd-Rd, Rd-Yl, Rd-O, Rd-Bk, Yl-Rd, Yl-Yl, Yl-Dg, Yl-Db, Yl-O, Yl-Bk, O-Rd, O-Yl, Bk-Rd, Bk-Yl, Dg-Rd, Db-Rd, Bk-O, Rd-Db, Rd-Dg, Rd-Lb, Geo-Bk, Geo-Rd, Geo-Yl, Lb-Flag, Flag-Bk, Flag-Dg, Lb , Geo-Dg, Geo-Flag, Bk-Bk, K-Yl, Geo-GYl"
"24",24,"LLOut","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Dg-Db-Rd, Dg-Dg-Rd, Dg-Rd-Rd, Dg-Yl-Yl, Dg-Yl-Dg, Dg-Yl-Db, Dg-Yl-Rd, Dg-Dg-Yl, Dg-Dg-Dg, Dg-Dg-Db, Yl-Yl-Yl, Yl-Yl-Dg, Yl-Yl-Db, Yl-Yl-Rd, Yl-Dg-Yl, Yl-Dg-Dg, Yl-Dg-Db, Yl-Dg-Rd, Yl-Db-Yl, Db-Yl-Yl, Db-Yl-Dg, Db-Yl-Db, Db-Yl-Rd, Db-Rd-Dg, Db-Dg-Rd, Db-Dg-Db, Db-Dg-Dg, Db-Rd-Rd, Db-Rd-Db, Db-Rd-Yl, Db-Db-Rd, Db-Db-Dg, Db-Db-Yl, Db-Db-Db, Yl-G-B, Dg-Rd-Db, Yl-Db-Dg, Dg-Db-Dg, Dg-Rd-Dg, Yl-Rd-Dg, Rd-Rd-Rd, O, Db-Db, Db-O, Db-Wh, Db-Dg, Db-Yl, Dg-Dg, Dg-Db, A"
"25",25,"UROut","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Db-A, Geo-Flag, Rd-Yl, Rd-Dg, Rd-Db, Yl-Rd, Yl-Dg, Yl-Db, Dg-Rd, Dg-Yl, Dg-Db, Db-Rd, Dg-Dg, Geo-Yl, A, Geo-Dg, O, Geo-Db, Geo-O, Geo-Wh, Geo-Rd, flag"
"26",26,"LROut","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: Yl-A, A, Rd-Bk, O-Yl, Rd-Db, Lb-Rd, Rd-Yl, Rd-Dg, O-Dg, Lb-Db, Lb-bk, Lb-Lb, Lb-O, Lb-Dg, Lb-Yl, O-Rd, Rd-Rd, Rd-Lb, Lb-GYl, Rd-GYl, Yl-Lb"
"27",27,"HowSexed","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: CP"
"28",28,"FlightFeatherMolt","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary:  N"
"29",29,"TagType1","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: VHF"
"30",30,"TagType2","domainItem_value","Dataset variable contains entry value(s) not listed under ""domainItem_Value"" in dictionary: VHF"
"31",31,"BandNumberIn","allowNull","Dataset variable contains blank values, which is not consistent with ""allowNull"" in dictionary "
"32",32,"BandNumberOut","allowNull","Dataset variable contains blank values, which is not consistent with ""allowNull"" in dictionary "
"33",33,"BBLStatus","allowNull","Dataset variable contains blank values, which is not consistent with ""allowNull"" in dictionary "
"34",34,"BandNumberIn","dataType","Dataset variable is detected as a different datatype (character) than indicated in dictionary (integer)"
"35",35,"BBLStatus","dataType","Dataset variable is detected as a different datatype (integer) than indicated in dictionary (character varying)"
"36",36,"BroodPatch","dataType","Dataset variable is detected as a different datatype (integer) than indicated in dictionary (character)"
